,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Totskoye,RU,52.5248,52.7623,34.07,96,100,10.65,overcast clouds
327,Damghan,IR,36.1683,54.348,46.49,35,0,1.72,clear sky
328,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,34,0,14.97,clear sky
329,Acapulco,MX,16.8634,-99.8901,85.82,70,0,17.27,clear sky
330,Kropotkin,RU,45.4375,40.5756,44.64,90,35,6.26,scattered clouds
331,Lebu,CL,-37.6167,-73.65,57.54,80,87,16.42,overcast clouds
332,Inirida,CO,3.8653,-67.9239,77.11,95,100,4.16,light rain
333,Monze,ZM,-16.2833,27.4833,71.2,70,100,3.76,light rain
334,Arkhara,RU,49.4212,130.0842,23.13,64,0,9.4,clear sky
335,Jacareacanga,BR,-6.2222,-57.7528,86.29,62,89,2.77,overcast clouds
336,Norsup,VU,-16.0667,167.3833,81.84,76,17,6.82,few clouds
337,Bilibino,RU,68.0546,166.4372,-5.75,97,100,0.76,overcast clouds
338,Paamiut,GL,61.994,-49.6678,21.78,72,96,11.7,overcast clouds
339,Kuytun,RU,54.3419,101.5036,20.73,88,100,4.41,overcast clouds
340,Rethimnon,GR,35.3647,24.4714,58.62,69,0,5.55,clear sky
341,Byron Bay,AU,-28.65,153.6167,62.94,68,17,10.33,few clouds
342,Polyarnyy,RU,69.1989,33.4478,31.93,91,69,12.21,broken clouds
343,Antofagasta,CL,-23.65,-70.4,65.48,63,3,6.42,clear sky
344,Caravelas,BR,-17.7125,-39.2481,73.96,85,96,6.22,overcast clouds
345,Bend,US,44.0582,-121.3153,43.09,56,0,4.61,clear sky
346,Tamworth,GB,52.634,-1.6959,51.03,87,62,5.99,broken clouds
